Team_Abv,Total_GamesPlayed,Total_PassingYardsFor,Total_PassingYardsAgainst,Total_RushingYardsFor,Total_RushingYardsAgainst,Total_Takeaways,Total_Giveaways,Total_PointsFor,Total_PointsAgainst,Total_PassAttempts,Total_RushAttempts
ARI,17,3639.0,3674.0,2451.0,2149.0,17.0,20.0,400.0,379.0,543.0,463.0
ATL,17,4068.0,3817.0,2219.0,2051.0,18.0,24.0,389.0,423.0,559.0,495.0
BAL,19,4440.0,4527.0,3664.0,1537.0,17.0,14.0,571.0,402.0,523.0,634.0
BUF,20,4489.0,4461.0,2734.0,2353.0,36.0,8.0,612.0,432.0,602.0,603.0
CAR,17,3188.0,3820.0,1878.0,3057.0,17.0,22.0,341.0,534.0,547.0,410.0
CHI,17,3086.0,3705.0,1734.0,2317.0,24.0,16.0,310.0,370.0,566.0,431.0
CIN,17,4640.0,3799.0,1574.0,2122.0,25.0,22.0,472.0,434.0,652.0,380.0
CLE,17,3506.0,3611.0,1608.0,2205.0,12.0,34.0,258.0,435.0,661.0,391.0
DAL,17,3862.0,3708.0,1705.0,2331.0,22.0,28.0,350.0,468.0,637.0,429.0
DEN,18,3755.0,4013.0,1987.0,1849.0,25.0,19.0,432.0,342.0,593.0,478.0
DET,18,4794.0,4447.0,2689.0,1854.0,24.0,20.0,595.0,387.0,594.0,557.0
GB,18,4002.0,3779.0,2603.0,1858.0,31.0,23.0,470.0,360.0,512.0,551.0
HOU,19,3974.0,3790.0,2226.0,2038.0,33.0,22.0,418.0,407.0,631.0,497.0
IND,17,3361.0,3899.0,2331.0,2241.0,25.0,29.0,377.0,427.0,513.0,496.0
JAX,17,3477.0,4375.0,1729.0,2254.0,9.0,24.0,320.0,435.0,546.0,414.0
KC,20,4401.0,4344.0,2024.0,2162.0,21.0,18.0,462.0,409.0,683.0,518.0
LV,17,3797.0,3676.0,1357.0,1987.0,13.0,29.0,309.0,434.0,635.0,380.0
LAC,18,3840.0,3778.0,1932.0,2165.0,24.0,13.0,414.0,333.0,542.0,481.0
LAR,19,4361.0,4021.0,1966.0,2601.0,22.0,16.0,416.0,423.0,630.0,493.0
MIA,17,3737.0,3581.0,1795.0,1763.0,16.0,21.0,345.0,364.0,591.0,448.0
MIN,18,4206.0,4316.0,1961.0,1678.0,33.0,23.0,441.0,359.0,588.0,479.0
NE,17,2994.0,3596.0,1969.0,2233.0,12.0,23.0,289.0,417.0,529.0,446.0
NO,17,3488.0,4055.0,1954.0,2404.0,17.0,19.0,338.0,398.0,551.0,444.0
NYG,17,3228.0,3580.0,1783.0,2316.0,15.0,23.0,273.0,415.0,591.0,424.0
NYJ,17,3714.0,3275.0,1561.0,2059.0,17.0,19.0,338.0,404.0,607.0,363.0
PHI,21,3820.0,3924.0,3866.0,2137.0,39.0,16.0,608.0,380.0,540.0,770.0
PIT,18,3515.0,4041.0,2195.0,1977.0,33.0,17.0,394.0,375.0,529.0,544.0
SF,17,4234.0,3278.0,2163.0,2118.0,17.0,27.0,389.0,436.0,533.0,457.0
SEA,17,4020.0,3603.0,1627.0,2053.0,18.0,24.0,375.0,368.0,593.0,383.0
TB,18,4440.0,4415.0,2637.0,1745.0,18.0,24.0,522.0,408.0,589.0,508.0
TEN,17,3317.0,3014.0,1855.0,2277.0,18.0,34.0,311.0,460.0,530.0,450.0
WSH,20,4483.0,3954.0,2982.0,2868.0,23.0,20.0,576.0,497.0,640.0,626.0
