Team,Team_Abv,Total_GamesPlayed,Total_PassingYardsFor,Total_PassingYardsAgainst,Total_RushingYardsFor,Total_RushingYardsAgainst,Total_Takeaways,Total_Giveaways,Total_PointsFor,Total_PointsAgainst,Total_PassAttempts,Total_RushAttempts
Arizona Cardinals,ARI,18,4779,4071,2137,1953,27,17,460,400,625,514
Atlanta Falcons,ATL,17,3713,4218,1451,2199,20,26,313,459,573,393
Baltimore Ravens,BAL,17,3961,4742,2479,1532,15,26,387,392,611,517
Buffalo Bills,BUF,19,4921,3381,2492,2134,32,22,566,348,717,512
Carolina Panthers,CAR,17,3239,3284,1847,1931,16,29,304,404,599,454
Chicago Bears,CHI,17,3207,3741,2018,1984,16,29,311,407,542,475
Cincinnati Bengals,CIN,21,5508,5279,2081,2103,30,23,552,458,697,522
Cleveland Browns,CLE,17,3320,3699,2471,1857,19,22,349,371,520,485
Dallas Cowboys,DAL,18,5088,4550,2196,2087,35,21,547,381,691,494
Denver Broncos,DEN,17,3593,3645,2025,1885,19,18,335,322,541,455
Detroit Lions,DET,17,3598,3954,1886,2321,19,23,325,467,593,427
Green Bay Packers,GB,18,4540,3854,1967,1964,27,14,460,384,622,466
Houston Texans,HOU,17,3305,3995,1422,2419,25,22,280,452,546,420
Indianapolis Colts,IND,17,3361,3968,2540,1852,33,19,451,365,521,499
Jacksonville Jaguars,JAX,17,3436,3878,1755,1951,9,29,253,457,604,391
Kansas City Chiefs,KC,20,5848,5123,2382,2280,30,29,588,448,797,502
Las Vegas Raiders,LV,18,4877,4306,1716,2075,15,26,393,465,682,429
Los Angeles Chargers,LAC,17,4800,3755,1834,2361,21,21,474,459,674,423
Los Angeles Rams,LAR,21,5830,4822,2009,2040,31,30,567,447,747,529
Miami Dolphins,MIA,17,3651,3799,1568,1866,26,26,341,373,615,442
Minnesota Vikings,MIN,17,4238,4300,1930,2151,24,13,425,426,604,449
New England Patriots,NE,18,4089,3412,2240,2277,30,25,479,350,573,510
New Orleans Saints,NO,17,3156,3815,1991,1663,25,18,364,335,504,510
New York Giants,NYG,17,2956,3998,1688,2193,22,30,258,416,593,419
New York Jets,NYJ,17,3551,4409,1667,2351,14,27,310,504,603,380
Philadelphia Eagles,PHI,18,3662,3709,2821,1945,16,19,459,416,537,567
Pittsburgh Steelers,PIT,18,4000,4344,1639,2589,23,21,364,440,708,430
San Francisco 49ers,SF,20,4756,4117,2491,2010,23,27,480,412,588,586
Seattle Seahawks,SEA,17,3432,4513,2074,1928,18,13,395,366,495,413
Tampa Bay Buccaneers,TB,19,5829,4687,1829,1752,33,20,569,398,822,430
Tennessee Titans,TEN,18,3638,4362,2544,1838,23,28,435,373,559,579
Washington Football Team,WSH,17,3441,4333,2061,1771,18,24,335,434,550,477
