Team,Team_Abv,Total_GamesPlayed,Total_PassingYardsFor,Total_PassingYardsAgainst,Total_RushingYardsFor,Total_RushingYardsAgainst,Total_Takeaways,Total_Giveaways,Total_PointsFor,Total_PointsAgainst
Arizona Cardinals,ARI,17,3144,3612.5,2365,2434.4,17,11,330,455
Atlanta Falcons,ATL,17,3524,3449.3,2159,2009.4,16,8,321,373
Baltimore Ravens,BAL,19,4059,3464.8,2788,1905.2,31,21,527,307
Buffalo Bills,BUF,19,4543,3558.7,2464,2159.9,32,19,506,355
Carolina Panthers,CAR,17,2915.5,2915.5,1769,2080.8,11,8,236,416
Chicago Bears,CHI,17,3096,4042.6,2399,1468.8,28,22,360,379
Cincinnati Bengals,CIN,17,3895,4222.8,1527,2145.4,26,17,366,384
Cleveland Browns,CLE,18,3693,3080,2017,1840.6,28,18,410,407
Dallas Cowboys,DAL,18,4800,3457.8,2063,2082.7,26,19,541,363
Denver Broncos,DEN,17,3262,3971.2,1810,2330.7,26,11,357,413
Detroit Lions,DET,20,5238,4517.1,2623,1860.7,25,19,547,475
Green Bay Packers,GB,19,4434,3831.6,2139,2394.7,20,9,452,406
Houston Texans,HOU,19,4622,4175.2,1932,2010.5,26,16,432,397
Indianapolis Colts,IND,17,3666,3842,2059,2104.6,24,15,396,415
Jacksonville Jaguars,JAX,17,4126,4076.6,1646,1752.7,27,16,377,371
Kansas City Chiefs,KC,21,5239,3225.8,2233,2370,23,10,466,357
Las Vegas Raiders,LV,17,3380,3610.8,1542,2014.5,22,13,332,331
Los Angeles Chargers,LAC,17,3957,4246.6,1642,1924.4,21,9,346,398
Los Angeles Rams,LAR,18,4430,4183.7,2124,1869.1,15,10,427,401
Miami Dolphins,MIA,18,4713,4022.4,2455,1843.6,28,15,503,417
Minnesota Vikings,MIN,17,4359,3986.5,1553,1677.9,22,11,344,362
New England Patriots,NE,17,1627,3542.8,1627,1584.4,18,10,236,366
New Orleans Saints,NO,17,3990,3524.1,1742,2038.3,29,18,402,327
New York Giants,NYG,17,1874,3898.1,1874,2250.8,31,18,266,407
New York Jets,NYJ,17,1647,2861,1647,2108,27,17,268,355
Philadelphia Eagles,PHI,18,4084,4602.9,2309,1892.1,17,9,442,460
Pittsburgh Steelers,PIT,18,3392,4049.7,2189,2195.2,27,18,321,355
San Francisco 49ers,SF,20,5158,3901.1,2837,2125.9,33,25,573,374
Seattle Seahawks,SEA,17,3910,3961,1580,2352.8,19,11,364,402
Tampa Bay Buccaneers,TB,19,4498,4486.8,1665,1745.5,25,15,403,365
Tennessee Titans,TEN,17,1846,3865.8,1846,1830.9,14,6,305,367
Washington Commanders,WAS,17,3725,4457.4,1592,2155.6,18,8,329,518
